Node Number =    6212
         12360.04395         13307.19336            14.41668
         12559.99707         13307.19238            14.41668
         12759.94922         13307.19531            14.41668
         12959.90430         13307.19336            14.41642
         13159.85547         13307.19434            14.41667
         13359.80859         13307.19531            14.41667
         13559.75586         13307.18457            14.41963
         13759.69922         13307.26562            14.41682
         13959.50586         13307.20898            14.41622
         14159.49805         13311.27051            14.42595
         14352.62402         13292.07227            14.38221
         14510.94434         13210.70898            14.25439
         14678.92285         13307.79590            14.41700
         14852.76074         13176.37012            14.21685
         15027.67285         13247.28418            14.28908
         15200.00000         13200.00000            14.24000
           173.36241         13043.49609            13.96249
             0.00000         13000.00000            13.92000
           346.09485         12926.90625            13.81405
           517.64142         13026.16113            13.97232
           684.63379         13113.57715            14.10768
           862.34619         13035.60938            13.95922
           980.94440         13137.73145            14.16847
          1171.31714         13125.90527            14.14991
          1374.25659         13131.55664            14.15394
          1574.68347         13134.27832            14.15854
          1774.94617         13133.90234            14.13430
          1974.92542         13133.92578            14.15906
          2174.91821         13133.97168            14.15916
          2374.91675         13133.99023            14.15905
          2574.92163         13133.99414            14.15797
          2774.94873         13134.00879            14.15924
          2975.07812         13134.02441            14.15862
          3175.53223         13134.60449            14.16063
          3378.15796         13134.12598            14.16036
          3594.84155         13146.53809            14.18624
          3816.43921         13133.49609            14.15829
          4018.89453         13133.95898            14.16740
          4219.54443         13133.99219            14.16684
          4419.54395         13133.99219            14.16067
          4619.54346         13133.99219            14.16067
          4819.54297         13133.99219            14.16098
          5019.54248         13133.99219            14.17084
          5219.54199         13133.99219            14.17030
          5419.54102         13133.99219            14.14855
          5619.54053         13133.99219            14.15833
          5819.54004         13133.99219            14.15488
          6019.53955         13133.99219            14.16628
          6219.53906         13133.99219            14.16068
          6419.53857         13133.99219            14.15285
          6619.53809         13133.99219            14.16628
          6819.53711         13133.99219            14.14675
          7019.53662         13133.99219            14.16068
          7219.53613         13133.99219            14.18335
          7419.53564         13133.99219            14.16068
          7619.53516         13133.99219            14.15911
          7819.53467         13133.99219            14.16738
          8019.53369         13133.99219            14.16684
          8219.53320         13133.99219            14.16068
          8419.53320         13133.99219            14.15285
          8619.53223         13133.99219            14.16098
          8819.53125         13133.99219            14.17084
          9019.53125         13133.99219            14.17030
          9219.53027         13133.99219            14.14856
          9419.53027         13133.99219            14.15833
          9619.52930         13133.99219            14.16040
          9819.52832         13133.99219            14.16628
         10019.52832         13133.99219            14.16068
         10219.52734         13133.99219            14.15285
         10419.52637         13133.99219            14.16628
         10619.52637         13133.99219            14.14675
         10819.52539         13133.99219            14.16068
         11019.52539         13133.99219            14.16068
         11219.52441         13133.99219            14.16068
         11419.52344         13133.99219            14.15833
         11619.52344         13133.99316            14.15488
         11819.52246         13133.99219            14.16628
         12019.52148         13133.99316            14.16068
         12219.52148         13133.99219            14.15285
         12419.51953         13133.99512            14.16629
         12619.52051         13133.99121            14.14675
         12819.51270         13134.00586            14.16071
         13019.52734         13133.99414            14.16068
         13219.51660         13133.99512            14.16069
         13419.50781         13133.99609            14.15834
         13619.45605         13133.93066            14.15475
         13818.93262         13134.13281            14.16666
         14016.24805         13134.27539            14.16205
         14197.34570         13150.31934            14.19193
         14340.76953         13076.14551            14.02994
         14508.39062         12992.80957            13.87178
         14679.08984         13103.94434            14.07210
         14853.54102         12976.02930            13.89278
         15026.64941         13048.10059            14.03338
         15200.00000         13000.00000            13.92000
           173.15048         12843.41797            13.64355
             0.00000         12800.00000            13.60000
           346.40842         12726.88965            13.49745
           519.62830         12826.56152            13.66765
           694.24860         12923.94922            13.80764
           878.90198         12832.05078            13.66418
          1094.10620         12925.34473            13.81026
          1325.81323         12944.58398            13.84274
          1537.43896         12963.17676            13.87791
          1738.17493         12960.52539            13.87456
          1938.53882         12960.50000            13.87464
          2138.56616         12960.73047            13.87068
          2338.54272         12960.80273            13.87126
          2538.50537         12960.80957            13.88116
          2738.46851         12960.81152            13.87536
          2938.42993         12960.80566            13.83442
          3138.38965         12960.78809            13.87123
          3338.33740         12960.71484            13.87322
          3538.58911         12962.76562            13.87701
          3737.30469         12962.50977            13.85049
          3937.97339         12960.94238            13.87507
          4138.19971         12960.81348            13.87496
          4338.16162         12960.81250            13.87495
          4538.12354         12960.81250            13.87494
          4738.08496         12960.81250            13.87600
          4938.04688         12960.81250            13.87491
          5138.00879         12960.81250            13.87232
          5337.97021         12960.81250            13.87489
          5537.93213         12960.81250            13.87488
          5737.89404         12960.81250            13.87487
          5937.85547         12960.81250            13.87054
          6137.81738         12960.81250            13.87108
          6337.77930         12960.81250            13.88107
          6537.74072         12960.81250            13.87521
          6737.70264         12960.81250            13.83435
